i,j,bucket,dhash,phash,path_a,path_b,seq_a,seq_b,split_a,split_b,label_a,label_b
1,2,same_sequence_same_split,4,2,testing/flip/0002_000000012.jpg,testing/flip/0002_000000013.jpg,flip__0002,flip__0002,testing,testing,flip,flip
5,6,same_sequence_same_split,0,2,testing/flip/0003_000000005.jpg,testing/flip/0003_000000008.jpg,flip__0003,flip__0003,testing,testing,flip,flip
5,624,same_sequence_cross_split,0,2,testing/flip/0003_000000005.jpg,training/flip/0003_000000004.jpg,flip__0003,flip__0003,testing,training,flip,flip
5,625,same_sequence_cross_split,0,0,testing/flip/0003_000000005.jpg,training/flip/0003_000000006.jpg,flip__0003,flip__0003,testing,training,flip,flip
5,626,same_sequence_cross_split,0,2,testing/flip/0003_000000005.jpg,training/flip/0003_000000007.jpg,flip__0003,flip__0003,testing,training,flip,flip
5,627,same_sequence_cross_split,2,2,testing/flip/0003_000000005.jpg,training/flip/0003_000000009.jpg,flip__0003,flip__0003,testing,training,flip,flip
5,628,same_sequence_cross_split,4,4,testing/flip/0003_000000005.jpg,training/flip/0003_000000010.jpg,flip__0003,flip__0003,testing,training,flip,flip
6,624,same_sequence_cross_split,0,2,testing/flip/0003_000000008.jpg,training/flip/0003_000000004.jpg,flip__0003,flip__0003,testing,training,flip,flip
6,625,same_sequence_cross_split,0,2,testing/flip/0003_000000008.jpg,training/flip/0003_000000006.jpg,flip__0003,flip__0003,testing,training,flip,flip
6,626,same_sequence_cross_split,0,0,testing/flip/0003_000000008.jpg,training/flip/0003_000000007.jpg,flip__0003,flip__0003,testing,training,flip,flip
6,627,same_sequence_cross_split,2,2,testing/flip/0003_000000008.jpg,training/flip/0003_000000009.jpg,flip__0003,flip__0003,testing,training,flip,flip
6,628,same_sequence_cross_split,4,4,testing/flip/0003_000000008.jpg,training/flip/0003_000000010.jpg,flip__0003,flip__0003,testing,training,flip,flip
9,10,same_sequence_same_split,4,2,testing/flip/0004_000000006.jpg,testing/flip/0004_000000013.jpg,flip__0004,flip__0004,testing,testing,flip,flip
9,11,same_sequence_same_split,4,2,testing/flip/0004_000000006.jpg,testing/flip/0004_000000014.jpg,flip__0004,flip__0004,testing,testing,flip,flip
9,643,same_sequence_cross_split,0,0,testing/flip/0004_000000006.jpg,training/flip/0004_000000005.jpg,flip__0004,flip__0004,testing,training,flip,flip
9,644,same_sequence_cross_split,1,2,testing/flip/0004_000000006.jpg,training/flip/0004_000000007.jpg,flip__0004,flip__0004,testing,training,flip,flip
9,645,same_sequence_cross_split,1,4,testing/flip/0004_000000006.jpg,training/flip/0004_000000008.jpg,flip__0004,flip__0004,testing,training,flip,flip
9,646,same_sequence_cross_split,1,4,testing/flip/0004_000000006.jpg,training/flip/0004_000000009.jpg,flip__0004,flip__0004,testing,training,flip,flip
9,647,same_sequence_cross_split,2,4,testing/flip/0004_000000006.jpg,training/flip/0004_000000010.jpg,flip__0004,flip__0004,testing,training,flip,flip
9,648,same_sequence_cross_split,1,2,testing/flip/0004_000000006.jpg,training/flip/0004_000000011.jpg,flip__0004,flip__0004,testing,training,flip,flip
9,649,same_sequence_cross_split,2,2,testing/flip/0004_000000006.jpg,training/flip/0004_000000012.jpg,flip__0004,flip__0004,testing,training,flip,flip
9,717,different_sequence_cross_split_same_label,4,4,testing/flip/0004_000000006.jpg,training/flip/0007_000000014.jpg,flip__0004,flip__0007,testing,training,flip,flip
10,11,same_sequence_same_split,2,0,testing/flip/0004_000000013.jpg,testing/flip/0004_000000014.jpg,flip__0004,flip__0004,testing,testing,flip,flip
10,643,same_sequence_cross_split,4,2,testing/flip/0004_000000013.jpg,training/flip/0004_000000005.jpg,flip__0004,flip__0004,testing,training,flip,flip
10,644,same_sequence_cross_split,3,0,testing/flip/0004_000000013.jpg,training/flip/0004_000000007.jpg,flip__0004,flip__0004,testing,training,flip,flip
10,645,same_sequence_cross_split,3,2,testing/flip/0004_000000013.jpg,training/flip/0004_000000008.jpg,flip__0004,flip__0004,testing,training,flip,flip
